id, generations, popSize, bestPopSize, holePos, mutationRate, crossoverRate, runType, endFitness, endGeneration, time(ms), time(s)
0,10000,1000,4,300000.00,0.10,0.20,Multi,0.953136,1377,741 ms, 0 s
1,10000,1000,4,300000.00,0.10,0.60,Multi,0.953136,1377,602 ms, 0 s
2,10000,1000,4,300000.00,0.30,0.20,Multi,0.982401,8787,3996 ms, 3 s
3,10000,1000,4,300000.00,0.30,0.60,Multi,0.982401,8787,4186 ms, 4 s
4,10000,1000,4,300000.00,0.60,0.20,Multi,null,10000,5046 ms, 5 s
5,10000,1000,4,300000.00,0.60,0.60,Multi,null,10000,5107 ms, 5 s
6,10000,1000,8,300000.00,0.10,0.20,Multi,0.977582,1146,575 ms, 0 s
7,10000,1000,8,300000.00,0.10,0.60,Multi,0.977582,1146,571 ms, 0 s
8,10000,1000,8,300000.00,0.30,0.20,Multi,0.976019,3598,1826 ms, 1 s
9,10000,1000,8,300000.00,0.30,0.60,Multi,0.976019,3598,1841 ms, 1 s
10,10000,1000,8,300000.00,0.60,0.20,Multi,0.957163,5637,2970 ms, 2 s
11,10000,1000,8,300000.00,0.60,0.60,Multi,0.957163,5637,2992 ms, 2 s
12,10000,2000,4,300000.00,0.10,0.20,Multi,0.953136,1377,1321 ms, 1 s
13,10000,2000,4,300000.00,0.10,0.60,Multi,0.980640,1265,1199 ms, 1 s
14,10000,2000,4,300000.00,0.30,0.20,Multi,0.981158,8735,8452 ms, 8 s
15,10000,2000,4,300000.00,0.30,0.60,Multi,0.993727,1595,1539 ms, 1 s
16,10000,2000,4,300000.00,0.60,0.20,Multi,null,10000,9861 ms, 9 s
17,10000,2000,4,300000.00,0.60,0.60,Multi,0.980681,5807,5724 ms, 5 s
18,10000,2000,8,300000.00,0.10,0.20,Multi,0.970766,1142,1117 ms, 1 s
19,10000,2000,8,300000.00,0.10,0.60,Multi,0.970247,1124,1093 ms, 1 s
20,10000,2000,8,300000.00,0.30,0.20,Multi,0.992154,4473,4417 ms, 4 s
21,10000,2000,8,300000.00,0.30,0.60,Multi,0.971814,1297,1278 ms, 1 s
22,10000,2000,8,300000.00,0.60,0.20,Multi,0.964973,5630,5633 ms, 5 s
23,10000,2000,8,300000.00,0.60,0.60,Multi,0.978024,3255,3217 ms, 3 s
24,10000,1000,4,500000.00,0.10,0.20,Multi,0.985230,2154,1151 ms, 1 s
25,10000,1000,4,500000.00,0.10,0.60,Multi,0.985230,2154,1147 ms, 1 s
26,10000,1000,4,500000.00,0.30,0.20,Multi,null,10000,5481 ms, 5 s
27,10000,1000,4,500000.00,0.30,0.60,Multi,null,10000,5499 ms, 5 s
28,10000,1000,4,500000.00,0.60,0.20,Multi,null,10000,5575 ms, 5 s
29,10000,1000,4,500000.00,0.60,0.60,Multi,null,10000,5594 ms, 5 s
30,10000,1000,8,500000.00,0.10,0.20,Multi,0.996783,1763,955 ms, 0 s
31,10000,1000,8,500000.00,0.10,0.60,Multi,0.996783,1763,950 ms, 0 s
32,10000,1000,8,500000.00,0.30,0.20,Multi,0.986472,8841,4909 ms, 4 s
33,10000,1000,8,500000.00,0.30,0.60,Multi,0.986472,8841,4930 ms, 4 s
34,10000,1000,8,500000.00,0.60,0.20,Multi,0.981411,5727,3264 ms, 3 s
35,10000,1000,8,500000.00,0.60,0.60,Multi,0.981411,5727,3256 ms, 3 s
36,10000,2000,4,500000.00,0.10,0.20,Multi,0.985230,2154,2178 ms, 2 s
37,10000,2000,4,500000.00,0.10,0.60,Multi,0.964270,2097,2409 ms, 2 s
38,10000,2000,4,500000.00,0.30,0.20,Multi,0.989358,6909,7025 ms, 7 s
39,10000,2000,4,500000.00,0.30,0.60,Multi,0.993848,2820,2839 ms, 2 s
40,10000,2000,4,500000.00,0.60,0.20,Multi,null,10000,10318 ms, 10 s
41,10000,2000,4,500000.00,0.60,0.60,Multi,0.988187,7343,7478 ms, 7 s
42,10000,2000,8,500000.00,0.10,0.20,Multi,0.996783,1763,1819 ms, 1 s
43,10000,2000,8,500000.00,0.10,0.60,Multi,0.986504,1805,1783 ms, 1 s
44,10000,2000,8,500000.00,0.30,0.20,Multi,0.952898,4218,4336 ms, 4 s
45,10000,2000,8,500000.00,0.30,0.60,Multi,0.961876,1169,1224 ms, 1 s
46,10000,2000,8,500000.00,0.60,0.20,Multi,0.997197,9962,10374 ms, 10 s
47,10000,2000,8,500000.00,0.60,0.60,Multi,0.994941,5642,5759 ms, 5 s
48,10000,1000,4,800000.00,0.10,0.20,Multi,0.950285,3441,1947 ms, 1 s
49,10000,1000,4,800000.00,0.10,0.60,Multi,0.950285,3441,1888 ms, 1 s
